"ID"	"variable"	"value"
"1"	"ARS10"	"Col440I_1"	0
"2"	"ARS11"	"Col440I_1"	0
"3"	"ARS12"	"Col440I_1"	0
"4"	"ARS13"	"Col440I_1"	0
"5"	"ARS14"	"Col440I_1"	0
"6"	"ARS15"	"Col440I_1"	0
"7"	"ARS16"	"Col440I_1"	0
"8"	"ARS17"	"Col440I_1"	0
"9"	"ARS18"	"Col440I_1"	0
"10"	"ARS1"	"Col440I_1"	0
"11"	"ARS2"	"Col440I_1"	0
"12"	"ARS3"	"Col440I_1"	0
"13"	"ARS4"	"Col440I_1"	0
"14"	"ARS5"	"Col440I_1"	0
"15"	"ARS6"	"Col440I_1"	1
"16"	"ARS7"	"Col440I_1"	0
"17"	"ARS8"	"Col440I_1"	0
"18"	"ARS9"	"Col440I_1"	0
"19"	"NDSU10"	"Col440I_1"	0
"20"	"NDSU13"	"Col440I_1"	0
"21"	"NDSU15"	"Col440I_1"	0
"22"	"NDSU16"	"Col440I_1"	0
"23"	"NDSU17"	"Col440I_1"	0
"24"	"NDSU18"	"Col440I_1"	0
"25"	"NDSU19"	"Col440I_1"	0
"26"	"NDSU1"	"Col440I_1"	0
"27"	"NDSU20"	"Col440I_1"	0
"28"	"NDSU21"	"Col440I_1"	0
"29"	"NDSU22"	"Col440I_1"	0
"30"	"NDSU24"	"Col440I_1"	0
"31"	"NDSU25"	"Col440I_1"	0
"32"	"NDSU26"	"Col440I_1"	0
"33"	"NDSU28"	"Col440I_1"	0
"34"	"NDSU29"	"Col440I_1"	0
"35"	"NDSU2"	"Col440I_1"	0
"36"	"NDSU30"	"Col440I_1"	0
"37"	"NDSU3"	"Col440I_1"	0
"38"	"NDSU4"	"Col440I_1"	0
"39"	"NDSU5"	"Col440I_1"	0
"40"	"NDSU6"	"Col440I_1"	0
"41"	"NDSU7"	"Col440I_1"	0
"42"	"NDSU8"	"Col440I_1"	0
"43"	"NDSU9"	"Col440I_1"	0
"44"	"ARS10"	"IncA.C2_1"	0
"45"	"ARS11"	"IncA.C2_1"	0
"46"	"ARS12"	"IncA.C2_1"	0
"47"	"ARS13"	"IncA.C2_1"	0
"48"	"ARS14"	"IncA.C2_1"	0
"49"	"ARS15"	"IncA.C2_1"	0
"50"	"ARS16"	"IncA.C2_1"	0
"51"	"ARS17"	"IncA.C2_1"	0
"52"	"ARS18"	"IncA.C2_1"	0
"53"	"ARS1"	"IncA.C2_1"	0
"54"	"ARS2"	"IncA.C2_1"	0
"55"	"ARS3"	"IncA.C2_1"	0
"56"	"ARS4"	"IncA.C2_1"	1
"57"	"ARS5"	"IncA.C2_1"	1
"58"	"ARS6"	"IncA.C2_1"	0
"59"	"ARS7"	"IncA.C2_1"	1
"60"	"ARS8"	"IncA.C2_1"	0
"61"	"ARS9"	"IncA.C2_1"	0
"62"	"NDSU10"	"IncA.C2_1"	1
"63"	"NDSU13"	"IncA.C2_1"	1
"64"	"NDSU15"	"IncA.C2_1"	0
"65"	"NDSU16"	"IncA.C2_1"	0
"66"	"NDSU17"	"IncA.C2_1"	0
"67"	"NDSU18"	"IncA.C2_1"	1
"68"	"NDSU19"	"IncA.C2_1"	1
"69"	"NDSU1"	"IncA.C2_1"	1
"70"	"NDSU20"	"IncA.C2_1"	1
"71"	"NDSU21"	"IncA.C2_1"	0
"72"	"NDSU22"	"IncA.C2_1"	0
"73"	"NDSU24"	"IncA.C2_1"	1
"74"	"NDSU25"	"IncA.C2_1"	0
"75"	"NDSU26"	"IncA.C2_1"	1
"76"	"NDSU28"	"IncA.C2_1"	0
"77"	"NDSU29"	"IncA.C2_1"	0
"78"	"NDSU2"	"IncA.C2_1"	1
"79"	"NDSU30"	"IncA.C2_1"	1
"80"	"NDSU3"	"IncA.C2_1"	1
"81"	"NDSU4"	"IncA.C2_1"	1
"82"	"NDSU5"	"IncA.C2_1"	0
"83"	"NDSU6"	"IncA.C2_1"	0
"84"	"NDSU7"	"IncA.C2_1"	1
"85"	"NDSU8"	"IncA.C2_1"	1
"86"	"NDSU9"	"IncA.C2_1"	1
"87"	"ARS10"	"IncFIA.HI1._1_HI1"	0
"88"	"ARS11"	"IncFIA.HI1._1_HI1"	0
"89"	"ARS12"	"IncFIA.HI1._1_HI1"	0
"90"	"ARS13"	"IncFIA.HI1._1_HI1"	0
"91"	"ARS14"	"IncFIA.HI1._1_HI1"	0
"92"	"ARS15"	"IncFIA.HI1._1_HI1"	0
"93"	"ARS16"	"IncFIA.HI1._1_HI1"	0
"94"	"ARS17"	"IncFIA.HI1._1_HI1"	0
"95"	"ARS18"	"IncFIA.HI1._1_HI1"	1
"96"	"ARS1"	"IncFIA.HI1._1_HI1"	0
"97"	"ARS2"	"IncFIA.HI1._1_HI1"	0
"98"	"ARS3"	"IncFIA.HI1._1_HI1"	0
"99"	"ARS4"	"IncFIA.HI1._1_HI1"	0
"100"	"ARS5"	"IncFIA.HI1._1_HI1"	0
"101"	"ARS6"	"IncFIA.HI1._1_HI1"	0
"102"	"ARS7"	"IncFIA.HI1._1_HI1"	0
"103"	"ARS8"	"IncFIA.HI1._1_HI1"	0
"104"	"ARS9"	"IncFIA.HI1._1_HI1"	0
"105"	"NDSU10"	"IncFIA.HI1._1_HI1"	0
"106"	"NDSU13"	"IncFIA.HI1._1_HI1"	0
"107"	"NDSU15"	"IncFIA.HI1._1_HI1"	0
"108"	"NDSU16"	"IncFIA.HI1._1_HI1"	0
"109"	"NDSU17"	"IncFIA.HI1._1_HI1"	0
"110"	"NDSU18"	"IncFIA.HI1._1_HI1"	0
"111"	"NDSU19"	"IncFIA.HI1._1_HI1"	0
"112"	"NDSU1"	"IncFIA.HI1._1_HI1"	0
"113"	"NDSU20"	"IncFIA.HI1._1_HI1"	0
"114"	"NDSU21"	"IncFIA.HI1._1_HI1"	0
"115"	"NDSU22"	"IncFIA.HI1._1_HI1"	0
"116"	"NDSU24"	"IncFIA.HI1._1_HI1"	0
"117"	"NDSU25"	"IncFIA.HI1._1_HI1"	0
"118"	"NDSU26"	"IncFIA.HI1._1_HI1"	0
"119"	"NDSU28"	"IncFIA.HI1._1_HI1"	0
"120"	"NDSU29"	"IncFIA.HI1._1_HI1"	0
"121"	"NDSU2"	"IncFIA.HI1._1_HI1"	0
