"Parameter" "Min.   " "1st Qu." "Median " "Mean   " "3rd Qu." "Max.   "
"1" " Completeness" 97.79 99.64 99.71 99.55 99.71 99.71
"2" "Contamination" 0.04 0.07 0.15 0.17 0.22 0.51
"3" "Strain.heterogeneity" 0 0 0 0.58 0 25
"4" "   contigs" 48 64.5 72 93.65 99 245
"5" "    bases" 4564178 4832001 4875777 4873355 4937392 5067159
"6" "     CDS" 4275 4604 4675 4663 4742 4873
"7" "     rRNA" 2 2 3 3.02 3.5 5
"8" "     tRNA" 49 73.5 75 72.12 76 77
"9" "repeat_region" 1 1 1 1 1 1
"10" "    tmRNA" 1 1 1 1 1 1
"11" "# contigs (>= 0 bp)" 48 64.5 72 93.65 99 245
"12" "# contigs (>= 1000 bp)" 28 34 38 46.67 49.5 105
"13" "# contigs (>= 5000 bp)" 20 24 28 35.19 38 84
"14" "# contigs (>= 10000 bp)" 19 22 26 31.77 36 70
"15" "# contigs (>= 25000 bp)" 18 22 24 28.93 32.5 58
"16" "# contigs (>= 50000 bp)" 14 16 18 20.3 23.5 35
"17" "Total length (>= 0 bp)" 4564178 4832001 4875777 4873355 4937392 5067159
"18" "Total length (>= 1000 bp)" 4560105 4821642 4865790 4860914 4920015 5052524
"19" "Total length (>= 5000 bp)" 4550146 4795109 4842766 4833486 4888246 5025803
"20" "Total length (>= 10000 bp)" 4550146 4768774 4804974 4809560 4881864 5005799
"21" "Total length (>= 25000 bp)" 4460144 4673324 4785850 4760858 4857580 4924926
"22" "Total length (>= 50000 bp)" 3426388 4381032 4519804 4439056 4612950 4741222
"23" "  # contigs" 34 40 45 54.05 56.5 120
"24" "Largest contig" 240187 499368 678726 613749 742434 821951
"25" " Total length" 4562166 4826367 4870573 4865745 4926000 5056511
"26" "    GC (%)" 51.9 52.1 52.11 52.12 52.13 52.34
"27" "     N50" 98266 227896 332231 317270 405528 491803
"28" "     N90" 25632 52638 76889 72331 88865 153577
"29" "     auN" 118846 256401 344675 321517 396442 473038
"30" "     L50" 4 5 5 6.74 7 16
"31" "     L90" 11 13 16 20.91 23.5 52
"32" "# N's per 100 kbp" 0 0 0 0 0 0
