Sample name	Output directory	Input files	O antigen prediction	H1 antigen prediction(fliC)	H2 antigen prediction(fljB)	Predicted identification	Predicted antigenic profile	Predicted serotype	Note
ARS10	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS10_seqsero	ARS10_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS11	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS11_seqsero	ARS11_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS12	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS12_seqsero	ARS12_assembly.fasta	2	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	2:g,p:-	Dublin	
ARS13	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS13_seqsero	ARS13_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS14	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS14_seqsero	ARS14_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS15	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS15_seqsero	ARS15_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS16	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS16_seqsero	ARS16_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS17	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS17_seqsero	ARS17_assembly.fasta	2	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	2:g,p:-	Dublin	
ARS18	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS18_seqsero	ARS18_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS1	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS1_seqsero	ARS1_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS2	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS2_seqsero	ARS2_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS3	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS3_seqsero	ARS3_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS4	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS4_seqsero	ARS4_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS5	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS5_seqsero	ARS5_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS6	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS6_seqsero	ARS6_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS7	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS7_seqsero	ARS7_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS8	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS8_seqsero	ARS8_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
ARS9	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/ARS9_seqsero	ARS9_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU10	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU10_seqsero	NDSU10_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
NDSU12	/storage/home/smk459/scratch/dub-genphen/3.6-sero/seqsero/NDSU12_seqsero	NDSU12_assembly.fasta	9	g,p	-	Salmonella enterica subspecies enterica (subspecies I)	9:g,p:-	Dublin	
