"ABX"	"ABX_CLASS"	"variable"	"value"	"SIR"
"1"	"Ampicillin"	"ß-lactam"	"NDSU1"	1	"R"
"2"	"Azithromycin"	"Macrolide"	"NDSU1"	-1	"S"
"3"	"Ceftazidime"	"ß-lactam"	"NDSU1"	1	"R"
"4"	"Ceftiofur"	"ß-lactam"	"NDSU1"	1	"R"
"5"	"Chloramphenicol"	"Phenicol"	"NDSU1"	1	"R"
"6"	"Clarithromycin"	"Macrolide"	"NDSU1"	5	"No interpretation"
"7"	"Doxycycline"	"Tetracycline"	"NDSU1"	0	"I"
"8"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU1"	5	"No interpretation"
"9"	"Imipenem"	"ß-lactam"	"NDSU1"	-1	"S"
"10"	"Tetracycline"	"Tetracycline"	"NDSU1"	1	"R"
"11"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU1"	1	"R"
"12"	"Amikacin"	"Aminoglycoside"	"NDSU1"	-1	"S"
"13"	"Cefazolin"	"ß-lactam"	"NDSU1"	1	"R"
"14"	"Clarithromycin"	"Macrolide"	"NDSU1"	1	"R"
"15"	"Erythromycin"	"Macrolide"	"NDSU1"	1	"R"
"16"	"Gentamicin"	"Aminoglycoside"	"NDSU1"	-1	"S"
"17"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU1"	1	"R"
"18"	"Penicillin"	"ß-lactam"	"NDSU1"	5	"No interpretation"
"19"	"Rifampin"	"Rifampin"	"NDSU1"	1	"R"
"20"	"Ticarcillin"	"ß-lactam"	"NDSU1"	0	"I"
"21"	"Timentin (Ticarcillin/clauvanic acid)"	"ß-lactam"	"NDSU1"	0	"I"
"22"	"Ampicillin"	"ß-lactam"	"NDSU2"	1	"R"
"23"	"Azithromycin"	"Macrolide"	"NDSU2"	-1	"S"
"24"	"Ceftazidime"	"ß-lactam"	"NDSU2"	1	"R"
"25"	"Ceftiofur"	"ß-lactam"	"NDSU2"	1	"R"
"26"	"Chloramphenicol"	"Phenicol"	"NDSU2"	1	"R"
"27"	"Clarithromycin"	"Macrolide"	"NDSU2"	5	"No interpretation"
"28"	"Doxycycline"	"Tetracycline"	"NDSU2"	1	"R"
"29"	"Enrofloxacin"	"Fluoroquinolone"	"NDSU2"	5	"No interpretation"
"30"	"Imipenem"	"ß-lactam"	"NDSU2"	-1	"S"
"31"	"Tetracycline"	"Tetracycline"	"NDSU2"	1	"R"
"32"	"Trim/Sulfa"	"Trimethoprim/Sulfonamide"	"NDSU2"	-1	"S"
"33"	"Amikacin"	"Aminoglycoside"	"NDSU2"	-1	"S"
"34"	"Cefazolin"	"ß-lactam"	"NDSU2"	1	"R"
"35"	"Clarithromycin"	"Macrolide"	"NDSU2"	1	"R"
"36"	"Erythromycin"	"Macrolide"	"NDSU2"	1	"R"
"37"	"Gentamicin"	"Aminoglycoside"	"NDSU2"	-1	"S"
"38"	"Oxacillin_2pNaCL"	"ß-lactam"	"NDSU2"	1	"R"
"39"	"Penicillin"	"ß-lactam"	"NDSU2"	5	"No interpretation"
