"Name","Number of raw reads","Classified reads","Chordate reads","Artificial reads","Unclassified reads","Microbial reads","Bacterial reads","Viral reads","Fungal reads","Protozoan reads"
"ARS1","6,012,677","6,008,313","0","0","4,364","5,985,177","5,985,153","21","0","0"
"ARS10","9,299,059","9,295,708","0","0","3,351","9,257,768","9,257,753","7","0","0"
"ARS11","4,695,680","4,693,755","0","0","1,925","4,654,529","4,654,510","15","0","0"
"ARS12","3,139,722","3,111,462","0","0","28,260","3,091,031","3,090,993","36","0","0"
"ARS13","3,575,970","3,574,579","0","0","1,391","3,539,013","3,538,999","11","0","0"
"ARS14","3,688,974","3,687,793","0","0","1,181","3,668,987","3,668,982","5","0","0"
"ARS15","2,826,665","2,796,268","0","0","30,397","2,767,791","2,767,736","42","0","0"
"ARS16","440,892","439,138","0","0","1,754","437,679","437,676","1","0","0"
"ARS17","4,320,742","4,272,295","0","0","48,447","4,245,928","4,245,869","48","0","0"
"ARS18","5,673,443","5,623,850","0","0","49,593","5,587,093","5,587,020","65","0","0"
"ARS2","4,060,538","4,038,890","0","0","21,648","4,008,188","4,008,114","66","0","0"
"ARS3","10,309,038","10,296,965","0","0","12,073","10,262,353","10,262,338","14","0","0"
"ARS4","6,362,548","6,283,493","0","0","79,055","6,236,841","6,236,777","57","0","0"
"ARS5","3,997,365","3,987,184","0","0","10,181","3,973,584","3,973,561","21","0","0"
"ARS6","7,091,152","7,089,092","0","0","2,060","7,023,694","7,022,553","1,137","0","0"
"ARS7","5,541,892","5,536,282","0","0","5,610","5,508,973","5,508,952","19","0","0"
"ARS8","3,270,862","2,946,773","0","0","324,089","2,925,192","2,925,149","37","0","0"
"ARS9","5,621,860","5,620,099","0","0","1,761","5,573,630","5,573,596","27","0","0"
"NDSU1","3,427,925","3,406,790","0","0","21,135","3,390,459","3,390,438","19","0","0"
"NDSU10","2,758,531","2,743,054","0","0","15,477","2,722,970","2,722,930","35","0","0"
"NDSU12","2,879,337","2,851,977","0","0","27,360","2,833,345","2,833,303","40","0","0"
"NDSU13","4,236,899","2,222,673","0","0","2,014,226","2,204,754","2,203,929","787","0","0"
"NDSU15","12,667,150","12,664,084","0","0","3,066","12,588,514","12,588,475","26","0","0"
"NDSU16","3,329,017","3,326,616","0","0","2,401","3,310,376","3,310,371","5","0","0"
"NDSU17","4,735,330","4,734,276","0","0","1,054","4,694,686","4,694,662","24","0","0"
"NDSU18","4,819,847","2,913,616","0","0","1,906,231","2,894,678","2,893,884","752","0","0"
"NDSU19","3,043,363","3,020,861","0","0","22,502","3,005,294","3,005,255","33","0","0"
"NDSU2","3,688,849","3,665,066","0","0","23,783","3,637,238","3,637,179","52","0","0"
"NDSU20","7,291,294","7,285,893","0","0","5,401","7,248,030","7,248,006","15","0","0"
"NDSU21","8,703,252","8,699,898","0","0","3,354","8,656,409","8,656,385","20","0","0"
"NDSU22","8,118,926","8,115,085","0","0","3,841","8,075,414","8,075,394","19","0","0"
"NDSU24","5,018,378","4,984,905","0","0","33,473","4,962,349","4,962,330","16","0","0"
"NDSU25","10,409,378","10,405,865","0","0","3,513","10,355,855","10,355,832","21","0","0"
"NDSU26","7,785,791","7,728,510","0","0","57,281","7,693,321","7,693,274","45","0","0"
"NDSU28","5,054,879","2,632,647","0","0","2,422,232","2,624,740","2,623,718","973","0","0"
"NDSU29","8,527,050","8,523,692","0","0","3,358","8,451,858","8,451,783","69","0","0"
"NDSU3","3,362,913","3,343,580","0","0","19,333","3,318,081","3,318,045","30","0","0"
"NDSU30","5,218,497","3,709,033","0","0","1,509,464","3,685,295","3,683,590","138","1,257","0"
"NDSU4","7,024,274","6,410,548","0","0","613,726","6,355,218","6,355,016","176","0","0"
"NDSU5","5,093,536","5,089,814","0","0","3,722","5,079,284","5,079,279","5","0","0"
"NDSU6","6,290,574","6,288,239","0","0","2,335","6,233,258","6,233,219","34","0","0"
"NDSU7","4,747,672","4,696,920","0","0","50,752","4,672,733","4,672,678","47","0","0"
"NDSU8","3,734,877","3,700,111","0","0","34,766","3,673,376","3,673,316","50","0","0"
"NDSU9","4,636,541","2,542,402","0","0","2,094,139","2,521,436","2,520,491","909","0","0"
