"ID"	"totalseq_bothreads"	"coverage"
"1"	"ARS1"	1719816207.2	354.090221782994
"2"	"ARS10"	2587175727.5	532.669492999794
"3"	"ARS11"	1339271307	275.740437924645
"4"	"ARS12"	889778884	183.195158328186
"5"	"ARS13"	1012140606.6	208.38801865349
"6"	"ARS14"	1061910863.4	218.635137615812
"7"	"ARS15"	792958248	163.260911673873
"8"	"ARS16"	129424054.2	26.6469125386041
"9"	"ARS17"	1244807107.2	256.29135416924
"10"	"ARS18"	1603858132.2	330.215798270537
"11"	"ARS2"	1180689336.4	243.090248383776
"12"	"ARS3"	2988889085	615.377616841672
"13"	"ARS4"	1750719418.9	360.452834856908
"14"	"ARS5"	1168758821.5	240.633893658637
"15"	"ARS6"	2076926799.9	427.615153366275
"16"	"ARS7"	1406431581.6	289.567959975293
"17"	"ARS8"	859788921	177.020572575664
"18"	"ARS9"	1610193072	331.520088943792
"19"	"NDSU1"	965184368	198.720273419806
"20"	"NDSU10"	783710629	161.356934115709
"21"	"NDSU12"	825666636.3	169.995189684991
"22"	"NDSU13"	586895632.4	120.835007700226
"23"	"NDSU15"	3520788748.4	724.88959201153
"24"	"NDSU16"	938720587.8	193.271687831995
"25"	"NDSU17"	1363949015.2	280.821291990941
"26"	"NDSU18"	770781486.5	158.69497354334
"27"	"NDSU19"	878300703	180.831933909821
"28"	"NDSU2"	1047086046.9	215.582879740581
"29"	"NDSU20"	1952437245.4	401.984197117562
"30"	"NDSU21"	2483247467.2	511.271868890262
"31"	"NDSU22"	2309884539.3	475.578451575046
"32"	"NDSU24"	1398014905.4	287.835063907762
"33"	"NDSU25"	2980147983.9	613.577925447807
"34"	"NDSU26"	2190493846.2	450.997291785052
"35"	"NDSU28"	687168696.5	141.480069281449
"36"	"NDSU29"	2433624534.4	501.05508223183
"37"	"NDSU3"	934205896	192.342165122504
"38"	"NDSU30"	1022417828.4	210.503979493515
"39"	"NDSU4"	1600418091.8	329.507533827466
"40"	"NDSU5"	1462572793	301.126784640725
"41"	"NDSU6"	1796639971	369.907344245419
"42"	"NDSU7"	1351994944.5	278.360087399629
"43"	"NDSU8"	1065621866.4	219.399190117356
"44"	"NDSU9"	677504895.6	139.490404694256
