file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ARS1.filt_1P.fq	FASTQ	DNA	5794529	861294093	1	148.6	150
ARS1.filt_2P.fq	FASTQ	DNA	5794529	858597671	34	148.2	150
ARS10.filt_1P.fq	FASTQ	DNA	8696389	1293301848	36	148.7	150
ARS10.filt_2P.fq	FASTQ	DNA	8696389	1293873386	36	148.8	150
ARS11.filt_1P.fq	FASTQ	DNA	4509331	671099249	4	148.8	150
ARS11.filt_2P.fq	FASTQ	DNA	4509331	668163884	12	148.2	150
ARS12.filt_1P.fq	FASTQ	DNA	3036788	443110556	1	145.9	150
ARS12.filt_2P.fq	FASTQ	DNA	3036788	446791820	18	147.1	150
ARS13.filt_1P.fq	FASTQ	DNA	3404442	506690906	36	148.8	150
ARS13.filt_2P.fq	FASTQ	DNA	3404442	505637434	36	148.5	150
ARS14.filt_1P.fq	FASTQ	DNA	3574254	531310301	36	148.6	150
ARS14.filt_2P.fq	FASTQ	DNA	3574254	530712563	25	148.5	150
ARS15.filt_1P.fq	FASTQ	DNA	2678913	396463641	4	148.0	150
ARS15.filt_2P.fq	FASTQ	DNA	2678913	396353503	35	148.0	150
ARS16.filt_1P.fq	FASTQ	DNA	435918	64774547	17	148.6	150
ARS16.filt_2P.fq	FASTQ	DNA	435918	64642478	36	148.3	150
ARS17.filt_1P.fq	FASTQ	DNA	4209696	622065841	1	147.8	150
ARS17.filt_2P.fq	FASTQ	DNA	4209696	622470207	36	147.9	150
ARS18.filt_1P.fq	FASTQ	DNA	5414781	802875171	5	148.3	150
ARS18.filt_2P.fq	FASTQ	DNA	5414781	800960810	19	147.9	150
ARS2.filt_1P.fq	FASTQ	DNA	3986122	590839396	1	148.2	150
ARS2.filt_2P.fq	FASTQ	DNA	3986122	589809498	1	148.0	150
ARS3.filt_1P.fq	FASTQ	DNA	10046686	1495610375	20	148.9	150
ARS3.filt_2P.fq	FASTQ	DNA	10046686	1493205859	16	148.6	150
ARS4.filt_1P.fq	FASTQ	DNA	5928613	877044397	4	147.9	150
ARS4.filt_2P.fq	FASTQ	DNA	5928613	873676519	3	147.4	150
ARS5.filt_1P.fq	FASTQ	DNA	3941851	585700151	1	148.6	150
ARS5.filt_2P.fq	FASTQ	DNA	3941851	583104054	2	147.9	150
ARS6.filt_1P.fq	FASTQ	DNA	6985963	1042630067	31	149.2	150
ARS6.filt_2P.fq	FASTQ	DNA	6985963	1034828380	36	148.1	150
ARS7.filt_1P.fq	FASTQ	DNA	4740248	704344256	3	148.6	150
ARS7.filt_2P.fq	FASTQ	DNA	4740248	702056620	22	148.1	150
ARS8.filt_1P.fq	FASTQ	DNA	2899794	430145477	1	148.3	150
ARS8.filt_2P.fq	FASTQ	DNA	2899794	429686949	22	148.2	150
ARS9.filt_1P.fq	FASTQ	DNA	5410595	806645236	36	149.1	150
ARS9.filt_2P.fq	FASTQ	DNA	5410595	803523940	23	148.5	150
NDSU1.filt_1P.fq	FASTQ	DNA	3260758	484886752	4	148.7	150
NDSU1.filt_2P.fq	FASTQ	DNA	3260758	480409043	6	147.3	150
NDSU10.filt_1P.fq	FASTQ	DNA	2642315	391829860	1	148.3	150
NDSU10.filt_2P.fq	FASTQ	DNA	2642315	391727932	11	148.3	150
NDSU12.filt_1P.fq	FASTQ	DNA	2790357	413624705	2	148.2	150
NDSU12.filt_2P.fq	FASTQ	DNA	2790357	412258583	21	147.7	150
NDSU13.filt_1P.fq	FASTQ	DNA	1980748	293537609	1	148.2	150
NDSU13.filt_2P.fq	FASTQ	DNA	1980748	293430042	19	148.1	150
NDSU15.filt_1P.fq	FASTQ	DNA	11810764	1760618728	2	149.1	150
NDSU15.filt_2P.fq	FASTQ	DNA	11810764	1759344738	6	149.0	150
NDSU16.filt_1P.fq	FASTQ	DNA	3157486	469086326	21	148.6	150
NDSU16.filt_2P.fq	FASTQ	DNA	3157486	469511216	34	148.7	150
NDSU17.filt_1P.fq	FASTQ	DNA	4580084	683357815	36	149.2	150
NDSU17.filt_2P.fq	FASTQ	DNA	4580084	680779355	36	148.6	150
NDSU18.filt_1P.fq	FASTQ	DNA	2601355	386013682	1	148.4	150
NDSU18.filt_2P.fq	FASTQ	DNA	2601355	384846744	15	147.9	150
NDSU19.filt_1P.fq	FASTQ	DNA	2966230	439621715	1	148.2	150
NDSU19.filt_2P.fq	FASTQ	DNA	2966230	438798931	18	147.9	150
NDSU2.filt_1P.fq	FASTQ	DNA	3529107	524083520	1	148.5	150
NDSU2.filt_2P.fq	FASTQ	DNA	3529107	523148781	34	148.2	150
NDSU20.filt_1P.fq	FASTQ	DNA	6565021	977032359	7	148.8	150
NDSU20.filt_2P.fq	FASTQ	DNA	6565021	975269166	18	148.6	150
NDSU21.filt_1P.fq	FASTQ	DNA	8355476	1243499536	4	148.8	150
NDSU21.filt_2P.fq	FASTQ	DNA	8355476	1240264535	36	148.4	150
NDSU22.filt_1P.fq	FASTQ	DNA	7769541	1155955270	7	148.8	150
NDSU22.filt_2P.fq	FASTQ	DNA	7769541	1154136975	28	148.5	150
NDSU24.filt_1P.fq	FASTQ	DNA	4713469	701103745	1	148.7	150
NDSU24.filt_2P.fq	FASTQ	DNA	4713469	697095262	19	147.9	150
NDSU25.filt_1P.fq	FASTQ	DNA	10024043	1491872918	36	148.8	150
NDSU25.filt_2P.fq	FASTQ	DNA	10024043	1488846066	36	148.5	150
NDSU26.filt_1P.fq	FASTQ	DNA	7402818	1098472466	1	148.4	150
NDSU26.filt_2P.fq	FASTQ	DNA	7402818	1092185931	13	147.5	150
NDSU28.filt_1P.fq	FASTQ	DNA	2317601	344824315	5	148.8	150
NDSU28.filt_2P.fq	FASTQ	DNA	2317601	342212412	28	147.7	150
NDSU29.filt_1P.fq	FASTQ	DNA	8191264	1219671098	12	148.9	150
NDSU29.filt_2P.fq	FASTQ	DNA	8191264	1213831718	36	148.2	150
NDSU3.filt_1P.fq	FASTQ	DNA	3156101	468519220	4	148.4	150
NDSU3.filt_2P.fq	FASTQ	DNA	3156101	465787199	7	147.6	150
NDSU30.filt_1P.fq	FASTQ	DNA	3451782	512049816	1	148.3	150
NDSU30.filt_2P.fq	FASTQ	DNA	3451782	510585121	11	147.9	150
NDSU4.filt_1P.fq	FASTQ	DNA	6012089	765512091	1	127.3	150
NDSU4.filt_2P.fq	FASTQ	DNA	6012089	834834731	8	138.9	150
NDSU5.filt_1P.fq	FASTQ	DNA	4922830	733494377	18	149.0	150
NDSU5.filt_2P.fq	FASTQ	DNA	4922830	729015205	36	148.1	150
NDSU6.filt_1P.fq	FASTQ	DNA	6059494	901062880	36	148.7	150
NDSU6.filt_2P.fq	FASTQ	DNA	6059494	895621366	36	147.8	150
NDSU7.filt_1P.fq	FASTQ	DNA	4575279	676693803	4	147.9	150
NDSU7.filt_2P.fq	FASTQ	DNA	4575279	675480223	35	147.6	150
NDSU8.filt_1P.fq	FASTQ	DNA	3602508	532825762	5	147.9	150
NDSU8.filt_2P.fq	FASTQ	DNA	3602508	532662022	22	147.9	150
NDSU9.filt_1P.fq	FASTQ	DNA	2285779	338673641	3	148.2	150
NDSU9.filt_2P.fq	FASTQ	DNA	2285779	338643722	20	148.2	150
