file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ARS10.fastq.gz	FASTQ	DNA	59104	874109133	939	14789.3	50567
ARS11.fastq.gz	FASTQ	DNA	41097	614370165	2064	14949.3	50665
ARS12.fastq.gz	FASTQ	DNA	58999	844872679	911	14320.1	50466
ARS13.fastq.gz	FASTQ	DNA	46724	688832800	1507	14742.6	49501
ARS14.fastq.gz	FASTQ	DNA	43033	651344402	1239	15135.9	50232
ARS15.fastq.gz	FASTQ	DNA	39540	581576768	1262	14708.6	50451
ARS16.fastq.gz	FASTQ	DNA	54991	788317852	1142	14335.4	50632
ARS17.fastq.gz	FASTQ	DNA	35951	548881812	1536	15267.5	50554
ARS18.fastq.gz	FASTQ	DNA	36608	568303880	2308	15524.0	50535
ARS1.fastq.gz	FASTQ	DNA	32372	526097774	1448	16251.6	50375
ARS2.fastq.gz	FASTQ	DNA	35049	529057530	2548	15094.8	50401
ARS3.fastq.gz	FASTQ	DNA	42143	652038263	1279	15472.0	49732
ARS4.fastq.gz	FASTQ	DNA	39625	611481476	1393	15431.7	50892
ARS5.fastq.gz	FASTQ	DNA	57855	846690984	1326	14634.7	50805
ARS6.fastq.gz	FASTQ	DNA	54962	814730667	1249	14823.5	50683
ARS7.fastq.gz	FASTQ	DNA	33944	547909565	1822	16141.6	50065
ARS8.fastq.gz	FASTQ	DNA	36002	553278999	1293	15368.0	50341
ARS9.fastq.gz	FASTQ	DNA	35199	538822772	2402	15307.9	50443
NDSU10.fastq.gz	FASTQ	DNA	43706	677034068	1550	15490.6	49969
NDSU12.fastq.gz	FASTQ	DNA	41872	653302763	1521	15602.4	50466
NDSU13.fastq.gz	FASTQ	DNA	47321	719729653	1197	15209.5	50330
NDSU15.fastq.gz	FASTQ	DNA	52030	763545252	1894	14675.1	50648
NDSU16.fastq.gz	FASTQ	DNA	48261	700092099	1007	14506.4	50580
NDSU17.fastq.gz	FASTQ	DNA	66405	959792951	1328	14453.6	50838
NDSU18.fastq.gz	FASTQ	DNA	67813	969859490	1151	14302.0	50690
NDSU19.fastq.gz	FASTQ	DNA	55471	869801876	1230	15680.3	50466
NDSU1.fastq.gz	FASTQ	DNA	37237	579718137	2283	15568.3	50239
NDSU20.fastq.gz	FASTQ	DNA	57872	902296429	1255	15591.2	50054
NDSU21.fastq.gz	FASTQ	DNA	45645	678756460	1080	14870.3	50255
NDSU22.fastq.gz	FASTQ	DNA	39325	604191460	1393	15364.1	50720
NDSU24.fastq.gz	FASTQ	DNA	39255	598700286	1219	15251.6	50010
NDSU25.fastq.gz	FASTQ	DNA	58368	852244534	1520	14601.2	50542
NDSU26.fastq.gz	FASTQ	DNA	58770	851496310	1146	14488.6	50506
NDSU28.fastq.gz	FASTQ	DNA	43994	597306495	1546	13577.0	50355
NDSU29.fastq.gz	FASTQ	DNA	55113	805340050	1438	14612.5	49828
NDSU2.fastq.gz	FASTQ	DNA	43013	692623011	1298	16102.6	50536
NDSU30.fastq.gz	FASTQ	DNA	53957	795181737	1239	14737.3	50556
NDSU3.fastq.gz	FASTQ	DNA	46539	690320448	1367	14833.2	50734
NDSU4.fastq.gz	FASTQ	DNA	48315	700731210	1495	14503.4	50459
NDSU5.fastq.gz	FASTQ	DNA	48227	711307125	970	14749.1	50571
NDSU6.fastq.gz	FASTQ	DNA	48343	750598878	487	15526.5	49449
NDSU7.fastq.gz	FASTQ	DNA	65842	967595324	1234	14695.7	50353
NDSU8.fastq.gz	FASTQ	DNA	51532	814734074	471	15810.3	50088
NDSU9.fastq.gz	FASTQ	DNA	38949	594314750	1729	15258.8	49033
