"file"	"format"	"type"	"num_seqs"	"sum_len"	"min_len"	"avg_len"	"max_len"
"1"	"ARS1_1.fq.gz"	"FASTQ"	"DNA"	6179445	926916750	150	150	150
"2"	"ARS1_2.fq.gz"	"FASTQ"	"DNA"	6179445	926916750	150	150	150
"3"	"NDSU1_1.fq.gz"	"FASTQ"	"DNA"	3762960	564444000	150	150	150
"4"	"NDSU1_2.fq.gz"	"FASTQ"	"DNA"	3762960	564444000	150	150	150
"5"	"NDSU2_1.fq.gz"	"FASTQ"	"DNA"	4632583	694887450	150	150	150
"6"	"NDSU2_2.fq.gz"	"FASTQ"	"DNA"	4632583	694887450	150	150	150
"7"	"NDSU3_1.fq.gz"	"FASTQ"	"DNA"	4063604	609540600	150	150	150
"8"	"NDSU3_2.fq.gz"	"FASTQ"	"DNA"	4063604	609540600	150	150	150
"9"	"ARS10_1.fq.gz"	"FASTQ"	"DNA"	9719311	1457896650	150	150	150
"10"	"ARS10_2.fq.gz"	"FASTQ"	"DNA"	9719311	1457896650	150	150	150
"11"	"ARS11_1.fq.gz"	"FASTQ"	"DNA"	4807978	721196700	150	150	150
"12"	"ARS11_2.fq.gz"	"FASTQ"	"DNA"	4807978	721196700	150	150	150
"13"	"ARS12_1.fq.gz"	"FASTQ"	"DNA"	4506467	675970050	150	150	150
"14"	"ARS12_2.fq.gz"	"FASTQ"	"DNA"	4506467	675970050	150	150	150
"15"	"ARS13_1.fq.gz"	"FASTQ"	"DNA"	3651714	547757100	150	150	150
"16"	"ARS13_2.fq.gz"	"FASTQ"	"DNA"	3651714	547757100	150	150	150
"17"	"ARS14_1.fq.gz"	"FASTQ"	"DNA"	3763281	564492150	150	150	150
"18"	"ARS14_2.fq.gz"	"FASTQ"	"DNA"	3763281	564492150	150	150	150
"19"	"ARS15_1.fq.gz"	"FASTQ"	"DNA"	5764515	864677250	150	150	150
"20"	"ARS15_2.fq.gz"	"FASTQ"	"DNA"	5764515	864677250	150	150	150
"21"	"ARS16_1.fq.gz"	"FASTQ"	"DNA"	584067	87610050	150	150	150
"22"	"ARS16_2.fq.gz"	"FASTQ"	"DNA"	584067	87610050	150	150	150
"23"	"ARS17_1.fq.gz"	"FASTQ"	"DNA"	6215908	932386200	150	150	150
"24"	"ARS17_2.fq.gz"	"FASTQ"	"DNA"	6215908	932386200	150	150	150
"25"	"ARS18_1.fq.gz"	"FASTQ"	"DNA"	7384857	1107728550	150	150	150
"26"	"ARS18_2.fq.gz"	"FASTQ"	"DNA"	7384857	1107728550	150	150	150
"27"	"ARS2_1.fq.gz"	"FASTQ"	"DNA"	5092056	763808400	150	150	150
"28"	"ARS2_2.fq.gz"	"FASTQ"	"DNA"	5092056	763808400	150	150	150
"29"	"ARS3_1.fq.gz"	"FASTQ"	"DNA"	10559986	1583997900	150	150	150
"30"	"ARS3_2.fq.gz"	"FASTQ"	"DNA"	10559986	1583997900	150	150	150
"31"	"ARS4_1.fq.gz"	"FASTQ"	"DNA"	7719743	1157961450	150	150	150
"32"	"ARS4_2.fq.gz"	"FASTQ"	"DNA"	7719743	1157961450	150	150	150
"33"	"ARS5_1.fq.gz"	"FASTQ"	"DNA"	4336837	650525550	150	150	150
"34"	"ARS5_2.fq.gz"	"FASTQ"	"DNA"	4336837	650525550	150	150	150
"35"	"ARS6_1.fq.gz"	"FASTQ"	"DNA"	7247372	1087105800	150	150	150
"36"	"ARS6_2.fq.gz"	"FASTQ"	"DNA"	7247372	1087105800	150	150	150
