"ID" "raw_numseqs" "raw_sumlen" "raw_minlen" "raw_avglen" "raw_maxlen" "trim_numseqs" "trim_sumlen" "trim_minlen" "trim_avglen" "trim_maxlen" "filt_numseqs" "filt_sumlen" "filt_minlen" "filt_avglen" "filt_maxlen" "pb_numseqs" "pb_sumlen" "pb_minlen" "pb_avglen" "pb_maxlen" "totalassembseqs" "avgcoverage" "loss_rawtotrim" "loss_trimtofilt" "loss_rawtofilt"
"1" "ARS1" 12358890 1853833500 150 150 150 12025354 1784048731 1 148.35 150 11589058 1719891764 1 148.4 150 32372 526097774 1448 16251.6 50375 11621430 462.407453654519 0.0269875369066316 0.0362813435679316 0.0622897363760014
"2" "NDSU1" 7525920 1128888000 150 150 150 6855850 1013232582 1 147.8 150 6521516 965295795 4 148 150 37237 579718137 2283 15568.3 50239 6558753 318.077240086473 0.0890349618385526 0.0487662361341045 0.133459297999447
"3" "NDSU2" 9265166 1389774900 150 150 150 7377698 1092692702 1 148.1 150 7058214 1047232301 1 148.35 150 43013 692623011 1298 16102.6 50536 7101227 358.185542660078 0.203716587484779 0.0433040224742189 0.238198862276186
"4" "NDSU3" 8127208 1219081200 150 150 150 6725826 993666657 1 147.75 150 6312202 934306419 4 148 150 46539 690320448 1367 14833.2 50734 6358741 334.471523738934 0.17243092584809 0.0614978740157714 0.223324664509632
"5" "ARS10" 19438622 2915793300 150 150 150 18598118 2766010596 1 148.75 150 17392778 2587175234 36 148.75 150 59104 874109133 939 14789.3 50567 17451882 712.637948260243 0.0432388674464682 0.0648097834415289 0.105246349252534
"6" "ARS11" 9615956 1442393400 150 150 150 9391360 1394286615 1 148.45 150 9018662 1339263133 4 148.5 150 41097 614370165 2064 14949.3 50665 9059759 402.232384002471 0.0233565960576359 0.0396852000136295 0.0621148848850806
"7" "ARS12" 9012934 1351940100 150 150 150 6279444 917497424 1 146.15 150 6073576 889902376 1 146.5 150 58999 844872679 911 14320.1 50466 6132575 357.144423285979 0.30328525649916 0.0327844312330837 0.326126653096539
"8" "ARS13" 7303428 1095514200 150 150 150 7151940 1063088968 1 148.65 150 6808884 1012328340 36 148.65 150 46724 688832800 1507 14742.6 49501 6855608 350.210798641136 0.0207420405869682 0.0479668453594409 0.0677139556931348
"9" "ARS14" 7526562 1128984300 150 150 150 7377948 1095911675 1 148.55 150 7148508 1062022864 25 148.55 150 43033 651344402 1239 15135.9 50232 7191541 352.739149289685 0.0197452701512324 0.0310980776768825 0.0502293078832009
"10" "ARS15" 11529030 1729354500 150 150 150 5653330 834132484 1 147.55 150 5357826 792817144 4 148 150 39540 581576768 1262 14708.6 50451 5397366 283.001089561458 0.509643916270493 0.0522707855370198 0.535275213959891
"11" "ARS16" 1168134 175220100 150 150 150 881784 130710950 1 148.25 150 871836 129417025 17 148.45 150 54991 788317852 1142 14335.4 50632 926827 188.952447107268 0.245134547920016 0.0112816744236684 0.253650694184058
"12" "ARS17" 12431816 1864772400 150 150 150 8641484 1273603189 1 147.4 150 8419392 1244536048 1 147.85 150 35951 548881812 1536 15267.5 50554 8455343 369.299773460984 0.304889647658878 0.0257006782631317 0.322754455181769
