"Parameter" "Min.   " "1st Qu." "Median " "Mean   " "3rd Qu." "Max.   "
"1" " raw_numseqs" 1168134 9202108 11433030 12261427 14835254 25936524
"2" "  raw_sumlen" 175220100 1380316200 1714954500 1839214030 2225288100 3890478600
"3" "  raw_minlen" 150 150 150 150 150 150
"4" "  raw_avglen" 150 150 150 150 150 150
"5" "  raw_maxlen" 150 150 150 150 150 150
"6" " trim_numseqs" 881784 7321258 9567519 10751507 13055959 25334300
"7" " trim_sumlen" 130710950 1085291768 1415878796 1588085930 1866562108 3774649987
"8" " trim_minlen" 1 1 1 1.04 1 2
"9" " trim_avglen" 132.7 147.6 148.1 147.7 148.6 148.9
"10" " trim_maxlen" 150 150 150 150 150 150
"11" " filt_numseqs" 871836 6252546 8719027 9746328 12047880 23621528
"12" " filt_sumlen" 129417025 923205408 1291899590 1442106639 1762211748 3519963466
"13" " filt_minlen" 1 1 4 9.64 16.25 36
"14" " filt_avglen" 133.1 148 148.3 147.9 148.6 149.1
"15" " filt_maxlen" 150 150 150 150 150 150
"16" "  pb_numseqs" 2086373 2086373 2086373 2086373 2086373 2086373
"17" "  pb_sumlen" 31281332391 31281332391 31281332391 31281332391 31281332391 31281332391
"18" "  pb_minlen" 471 471 471 471 471 471
"19" "  pb_avglen" 15054 15054 15054 15054 15054 15054
"20" "  pb_maxlen" 50892 50892 50892 50892 50892 50892
"21" "totalassembseqs" 2958209 8338918 10805400 11832701 14134254 25707901
"22" " avgcoverage" 6493 6656 6732 6763 6829 7191
"23" "loss_rawtotrim" 0.02 0.03 0.09 0.14 0.24 0.51
"24" "loss_trimtofilt" 0.01 0.03 0.04 0.1 0.07 0.54
"25" "loss_rawtofilt" 0.04 0.07 0.17 0.22 0.31 0.65
