file	format	type	num_seqs	sum_len	min_len	avg_len	max_len
ARS10_1P.fq.gz	FASTQ	DNA	9299059	1382711621	1	148.7	150
ARS10_1U.fq.gz	FASTQ	DNA	122511	14929688	1	121.9	150
ARS10_2P.fq.gz	FASTQ	DNA	9299059	1383298975	3	148.8	150
ARS10_2U.fq.gz	FASTQ	DNA	50217	5962218	2	118.7	150
ARS11_1P.fq.gz	FASTQ	DNA	4695680	698673889	1	148.8	150
ARS11_1U.fq.gz	FASTQ	DNA	84792	10606744	1	125.1	150
ARS11_2P.fq.gz	FASTQ	DNA	4695680	695612726	1	148.1	150
ARS11_2U.fq.gz	FASTQ	DNA	17966	2135585	1	118.9	150
ARS1_1P.fq.gz	FASTQ	DNA	6012677	893506768	1	148.6	150
ARS1_1U.fq.gz	FASTQ	DNA	107186	12297453	1	114.7	150
ARS12_1P.fq.gz	FASTQ	DNA	3139722	457368597	1	145.7	150
ARS12_1U.fq.gz	FASTQ	DNA	343522	29356626	1	85.5	150
ARS12_2P.fq.gz	FASTQ	DNA	3139722	460128827	1	146.6	150
ARS12_2U.fq.gz	FASTQ	DNA	50964	5380721	1	105.6	150
ARS1_2P.fq.gz	FASTQ	DNA	6012677	890541963	1	148.1	150
ARS1_2U.fq.gz	FASTQ	DNA	23898	2869778	1	120.1	150
ARS13_1P.fq.gz	FASTQ	DNA	3575970	532104639	1	148.8	150
ARS13_1U.fq.gz	FASTQ	DNA	53751	6662743	1	124.0	150
ARS13_2P.fq.gz	FASTQ	DNA	3575970	530984329	2	148.5	150
ARS13_2U.fq.gz	FASTQ	DNA	15783	1949348	2	123.5	150
ARS14_1P.fq.gz	FASTQ	DNA	3688974	548269553	1	148.6	150
ARS14_1U.fq.gz	FASTQ	DNA	49556	6173851	1	124.6	150
ARS14_2P.fq.gz	FASTQ	DNA	3688974	547642122	2	148.5	150
ARS14_2U.fq.gz	FASTQ	DNA	17596	2213659	21	125.8	150
ARS15_1P.fq.gz	FASTQ	DNA	2826665	417652194	1	147.8	150
ARS15_1U.fq.gz	FASTQ	DNA	411906	35765057	1	86.8	150
ARS15_2P.fq.gz	FASTQ	DNA	2826665	416480290	1	147.3	150
ARS15_2U.fq.gz	FASTQ	DNA	61094	6504427	1	106.5	150
ARS16_1P.fq.gz	FASTQ	DNA	440892	65426975	1	148.4	150
ARS16_1U.fq.gz	FASTQ	DNA	47459	4617017	1	97.3	150
ARS16_2P.fq.gz	FASTQ	DNA	440892	65283975	1	148.1	150
ARS16_2U.fq.gz	FASTQ	DNA	4573	490336	1	107.2	150
ARS17_1P.fq.gz	FASTQ	DNA	4320742	637133109	1	147.5	150
ARS17_1U.fq.gz	FASTQ	DNA	543313	49221621	1	90.6	150
ARS17_2P.fq.gz	FASTQ	DNA	4320742	636470080	1	147.3	150
ARS17_2U.fq.gz	FASTQ	DNA	81765	8928091	1	109.2	150
ARS18_1P.fq.gz	FASTQ	DNA	5673443	839392780	1	148.0	150
ARS18_1U.fq.gz	FASTQ	DNA	767244	64076370	1	83.5	150
ARS18_2P.fq.gz	FASTQ	DNA	5673443	836367204	1	147.4	150
ARS18_2U.fq.gz	FASTQ	DNA	71137	7595463	1	106.8	150
ARS2_1P.fq.gz	FASTQ	DNA	4060538	601094725	1	148.0	150
ARS2_1U.fq.gz	FASTQ	DNA	435720	41624603	1	95.5	150
ARS2_2P.fq.gz	FASTQ	DNA	4060538	599758446	1	147.7	150
ARS2_2U.fq.gz	FASTQ	DNA	49023	5313918	1	108.4	150
ARS3_1P.fq.gz	FASTQ	DNA	10309038	1534401320	2	148.8	150
ARS3_1U.fq.gz	FASTQ	DNA	145576	18131342	1	124.5	150
ARS3_2P.fq.gz	FASTQ	DNA	10309038	1531906913	2	148.6	150
ARS3_2U.fq.gz	FASTQ	DNA	45883	5527168	1	120.5	150
ARS4_1P.fq.gz	FASTQ	DNA	6362548	939194258	1	147.6	150
ARS4_1U.fq.gz	FASTQ	DNA	860543	72722062	1	84.5	150
ARS4_2P.fq.gz	FASTQ	DNA	6362548	932705990	1	146.6	150
ARS4_2U.fq.gz	FASTQ	DNA	99263	10160275	1	102.4	150
ARS5_1P.fq.gz	FASTQ	DNA	3997365	593447665	1	148.5	150
ARS5_1U.fq.gz	FASTQ	DNA	236249	21737224	1	92.0	150
ARS5_2P.fq.gz	FASTQ	DNA	3997365	590776738	1	147.8	150
ARS5_2U.fq.gz	FASTQ	DNA	28133	3166237	1	112.5	150
ARS6_1P.fq.gz	FASTQ	DNA	7091152	1058141215	1	149.2	150
ARS6_1U.fq.gz	FASTQ	DNA	127990	16860737	1	131.7	150
ARS6_2P.fq.gz	FASTQ	DNA	7091152	1050202083	1	148.1	150
ARS6_2U.fq.gz	FASTQ	DNA	17985	2124774	1	118.1	150
ARS7_1P.fq.gz	FASTQ	DNA	5541892	823317110	1	148.6	150
ARS7_1U.fq.gz	FASTQ	DNA	102786	11585548	1	112.7	150
ARS7_2P.fq.gz	FASTQ	DNA	5541892	820589879	1	148.1	150
ARS7_2U.fq.gz	FASTQ	DNA	24280	2911495	6	119.9	150
ARS8_1P.fq.gz	FASTQ	DNA	3270862	484363023	1	148.1	150
ARS8_1U.fq.gz	FASTQ	DNA	259508	22912712	1	88.3	150
ARS8_2P.fq.gz	FASTQ	DNA	3270862	483134987	1	147.7	150
ARS8_2U.fq.gz	FASTQ	DNA	39528	4305346	1	108.9	150
