#FILE	NUM_FOUND	CS54_island;1;Salmonella-enterica-Typhimurium-ATCC_14028;AF140550	SPI-12;1;Salmonella-enterica-Choleraesuis-SC_B67;NC_006905_P4	SPI-14;1;Salmonella-enterica-Gallinarum-SGA_8;AY956835	SPI-14;2;Salmonella-enterica-Gallinarum-SGC_8;AY956836	SPI-1;13;Salmonella-enterica-Typhimurium-SL1344;U16303	SPI-1;2;Salmonella-enterica-Typhi-CT18;NC_003198_P5	SPI-1;4;Salmonella-Typhimurium-LT2;NC_003197_P3	SPI-2;1;Salmonella-enterica-Choleraesuis-SC_B67;NC_006905_P3	SPI-3;7;Salmonella-enterica-Typhimurium-14028s;AJ000509	SPI-4;1;Salmonella-enterica-Typhimurium-LT2;AF060869	SPI-4;2;Salmonella-enterica-Choleraesuis-SC_B67;NC_006905_P7	SPI-5;1;Salmonella-enterica-Dublin-2229;AF060858	SPI-6;2;Salmonella-enterica-Enteritidis-;AF376036	SPI-9;1;Salmonella-Typhi-CT18;NC_003198_P4
ARS10_assembly.fasta	11	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	.	.	99.97	99.98	80.54
ARS11_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS12_assembly.fasta	11	80.13	84.30	100.00	100.00	99.94	.	.	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS13_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS14_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS15_assembly.fasta	12	80.13	84.31	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS16_assembly.fasta	12	84.37	84.31	100.00	100.00	99.94	84.70	.	99.97	100.00	99.95	.	99.77	99.98	80.54
ARS17_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	.	89.41	99.97	99.98	80.54
ARS18_assembly.fasta	11	80.13	.	100.00	100.00	99.94	.	88.81	99.98	94.31	99.95	.	99.97	99.98	80.54
ARS1_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS2_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS3_assembly.fasta	11	80.13	84.30	100.00	100.00	99.94	.	88.81	.	100.00	99.95	.	99.97	99.98	80.54
ARS4_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS5_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS6_assembly.fasta	12	80.13	83.22	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
ARS7_assembly.fasta	12	80.13	84.30	100.00	100.00	99.94	.	88.81	99.98	100.00	99.95	.	99.97	99.98	80.54
