Filename	organism	contigs	bases	CDS	rRNA	repeat_region	tRNA	tmRNA
ARS1.txt	Salmonella enterica strain 	5	4889690	4635	22	1	84	1
ARS10.txt	Salmonella enterica strain 	17	4860039	4612	21	1	77	1
ARS11.txt	Salmonella enterica strain 	6	4995270	4767	22	1	84	1
ARS12.txt	Salmonella enterica strain 	3	4929516	4704	22	1	80	1
ARS13.txt	Salmonella enterica strain 	3	4900991	4663	22	1	84	1
ARS14.txt	Salmonella enterica strain 	11	4776478	4532	22	1	77	1
ARS15.txt	Salmonella enterica strain 	6	4993997	4764	22	1	83	1
ARS16.txt	Salmonella enterica strain 	3	5050765	4843	21		73	1
ARS17.txt	Salmonella enterica strain 	13	4918210	4669	22	1	82	1
ARS18.txt	Salmonella enterica strain 	10	5124813	4909	22	1	84	1
ARS2.txt	Salmonella enterica strain 	2	4918076	4677	22	1	83	1
ARS3.txt	Salmonella enterica strain 	4	4768711	4503	22	1	83	1
ARS4.txt	Salmonella enterica strain 	18	5024266	4809	21	1	84	1
ARS5.txt	Salmonella enterica strain 	3	5003703	4790	22	1	84	1
ARS6.txt	Salmonella enterica strain 	17	4947393	4723	20	1	85	1
ARS7.txt	Salmonella enterica strain 	8	5012949	4793	22	1	84	1
ARS8.txt	Salmonella enterica strain 	7	4780672	4560	19	1	82	1
ARS9.txt	Salmonella enterica strain 	6	4930519	4688	22	1	84	1
NDSU1.txt	Salmonella enterica strain 	3	5019510	4806	22	1	83	1
NDSU10.txt	Salmonella enterica strain 	5	5033540	4825	22	1	85	1
NDSU12.txt	Salmonella enterica strain 	2	4912599	4672	22	1	84	1
NDSU13.txt	Salmonella enterica strain 	14	4994392	4773	22	1	82	1
NDSU15.txt	Salmonella enterica strain 	11	4888754	4628	22	1	82	1
NDSU16.txt	Salmonella enterica strain 	7	4980376	4757	22	1	81	1
NDSU17.txt	Salmonella enterica strain 	12	4918279	4679	23	1	84	1
NDSU18.txt	Salmonella enterica strain 	5	5010630	4790	22	1	84	1
NDSU19.txt	Salmonella enterica strain 	8	5018193	4799	22	1	84	1
NDSU2.txt	Salmonella enterica strain 	3	5021097	4806	22	1	83	1
NDSU20.txt	Salmonella enterica strain 	4	4989904	4768	22	1	84	1
NDSU21.txt	Salmonella enterica strain 	9	4834531	4567	22	1	81	1
NDSU22.txt	Salmonella enterica strain 	5	4841575	4574	22	1	81	1
NDSU24.txt	Salmonella enterica strain 	9	4974084	4755	22	1	84	1
NDSU25.txt	Salmonella enterica strain 	2	4886660	4632	22	1	84	1
NDSU26.txt	Salmonella enterica strain 	3	4987203	4768	22	1	83	1
NDSU28.txt	Salmonella enterica strain 	12	4916816	4661	22	1	73	1
NDSU29.txt	Salmonella enterica strain 	2	4960309	4726	22	1	84	1
NDSU3.txt	Salmonella enterica strain 	9	5118983	4934	22	1	84	1
NDSU30.txt	Salmonella enterica strain 	3	4974596	4752	22	1	83	1
NDSU4.txt	Salmonella enterica strain 	6	5002465	4794	22	1	84	1
NDSU5.txt	Salmonella enterica strain 	15	4685532	4389	15	1	67	1
NDSU6.txt	Salmonella enterica strain 	2	4922604	4677	22	1	84	1
NDSU7.txt	Salmonella enterica strain 	3	5023248	4810	22	1	84	1
NDSU8.txt	Salmonella enterica strain 	8	4891478	4670	19	1	81	1
NDSU9.txt	Salmonella enterica strain 	4	5021666	4807	22	1	83	1
