cgmlst_ST	cgmlst_distance	cgmlst_found_loci	cgmlst_genome_match	cgmlst_matching_alleles	cgmlst_subspecies	fasta_filepath	genome	h1	h2	o_antigen	qc_messages	qc_status	serogroup	serovar	serovar_antigen	serovar_cgmlst
	0.018181818181818188	329	2018-SEQ-0501	324	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS1_assembly.fasta	ARS1_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0501	324	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS10_assembly.fasta	ARS10_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.021212121212121238	329	2018-CAL-0016	323	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS11_assembly.fasta	ARS11_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.054545454545454564	318	2018-SEQ-0244	312	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS12_assembly.fasta	ARS12_assembly	g,p	-	1,9,12[Vi]	FAIL: Moderate number of cgMLST330 loci missing (n=12 > 10) | INFO: Number of cgMLST330 loci found (n=318)	WARNING	D1	Dublin	Kiel|Dublin	Dublin
	0.018181818181818188	329	2018-SEQ-0351	324	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS13_assembly.fasta	ARS13_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.045454545454545414	320	2018-CAL-0016	315	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS14_assembly.fasta	ARS14_assembly	g,p	-	1,9,12[Vi]	FAIL: Moderate number of cgMLST330 loci missing (n=10 > 10) | INFO: Number of cgMLST330 loci found (n=320)	WARNING	D1	Dublin	Kiel|Dublin	Dublin
1540587163	0.021212121212121238	330	2018-CAL-0016	323	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS15_assembly.fasta	ARS15_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.042424242424242475	329	ERR424911	316	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS16_assembly.fasta	ARS16_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
	0.021212121212121238	329	2018-SEQ-0501	323	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS17_assembly.fasta	ARS17_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=329)	PASS	D1	Dublin	Kiel|Dublin	Dublin
3218731726	0.018181818181818188	330	2018-CAL-0016	324	enterica	/scratch/smk459/genphen/3.4-unicycler-hybrid/assemblies/ARS18_assembly.fasta	ARS18_assembly	g,p	-	1,9,12[Vi]	INFO: Number of cgMLST330 loci found (n=330)	PASS	D1	Dublin	Kiel|Dublin	Dublin
