Filename	organism	contigs	bases	CDS	rRNA	repeat_region	tRNA	tmRNA
ARS1.txt	Salmonella enterica strain 	60	4825213	4593	4	1	76	1
ARS10.txt	Salmonella enterica strain 	56	4723454	4473	3	1	65	1
ARS11.txt	Salmonella enterica strain 	65	4862087	4642	3	1	76	1
ARS12.txt	Salmonella enterica strain 	83	4864874	4675	2	1	71	1
ARS13.txt	Salmonella enterica strain 	70	4807282	4578	3	1	76	1
ARS14.txt	Salmonella enterica strain 	91	4775164	4544	2	1	72	1
ARS15.txt	Salmonella enterica strain 	167	4927941	4715	3	1	74	1
ARS16.txt	Salmonella enterica strain 	341	4898113	4719	2	1	51	1
ARS17.txt	Salmonella enterica strain 	128	4874537	4647	4	1	74	1
ARS18.txt	Salmonella enterica strain 	116	5067159	4873	2	1	75	1
ARS2.txt	Salmonella enterica strain 	96	4871164	4662	2	1	74	1
ARS3.txt	Salmonella enterica strain 	60	4637852	4397	4	1	66	1
ARS4.txt	Salmonella enterica strain 	76	4967637	4774	2	1	76	1
ARS5.txt	Salmonella enterica strain 	60	4953691	4769	4	1	76	1
ARS6.txt	Salmonella enterica strain 	55	4878132	4680	3	1	77	1
ARS7.txt	Salmonella enterica strain 	65	4940633	4744	4	1	76	1
ARS8.txt	Salmonella enterica strain 	97	4839867	4629	2	1	76	1
ARS9.txt	Salmonella enterica strain 	64	4875777	4663	3	1	76	1
NDSU1.txt	Salmonella enterica strain 	71	4961671	4777	2	1	75	1
NDSU10.txt	Salmonella enterica strain 	217	4931503	4734	3	1	49	1
NDSU12.txt	Salmonella enterica strain 	57	4813118	4590	3	1	76	1
NDSU13.txt	Salmonella enterica strain 	245	4945216	4736	2	1	75	1
NDSU15.txt	Salmonella enterica strain 	86	4838789	4616	3	1	73	1
NDSU16.txt	Salmonella enterica strain 	56	4807494	4574	4	1	74	1
NDSU17.txt	Salmonella enterica strain 	65	4847525	4633	4	1	76	1
NDSU18.txt	Salmonella enterica strain 	82	4960357	4763	2	1	75	1
NDSU19.txt	Salmonella enterica strain 	101	4966229	4779	3	1	74	1
NDSU2.txt	Salmonella enterica strain 	206	4951947	4771	2	1	55	1
NDSU20.txt	Salmonella enterica strain 	96	4917158	4714	2	1	73	1
NDSU21.txt	Salmonella enterica strain 	67	4751328	4507	3	1	74	1
NDSU22.txt	Salmonella enterica strain 	61	4759653	4522	5	1	74	1
NDSU24.txt	Salmonella enterica strain 	71	4927194	4738	3	1	76	1
NDSU25.txt	Salmonella enterica strain 	72	4845413	4628	3	1	76	1
NDSU26.txt	Salmonella enterica strain 	71	4934150	4745	2	1	75	1
NDSU28.txt	Salmonella enterica strain 	108	4815670	4586	3	1	52	1
NDSU29.txt	Salmonella enterica strain 	63	4865359	4652	4	1	75	1
NDSU3.txt	Salmonella enterica strain 	79	4967118	4788	3	1	76	1
NDSU30.txt	Salmonella enterica strain 	72	4929420	4739	4	1	74	1
NDSU4.txt	Salmonella enterica strain 	173	4927258	4739	3	1	55	1
NDSU5.txt	Salmonella enterica strain 	48	4564178	4275	3	1	63	1
NDSU6.txt	Salmonella enterica strain 	66	4861994	4646	3	1	76	1
NDSU7.txt	Salmonella enterica strain 	119	4969578	4786	3	1	74	1
NDSU8.txt	Salmonella enterica strain 	193	4899323	4691	3	1	75	1
NDSU9.txt	Salmonella enterica strain 	73	4903138	4707	5	1	75	1
